DateTime,Open,High,Low,Close,Volume
2020-05-29 09:15:00,653.15,668.85,632.9,668.85,13575
2020-05-29 09:30:00,668.85,689.0,663.0,665.4,5475
2020-05-29 09:45:00,665.4,683.45,660.8,668.65,12075
2020-05-29 10:00:00,668.65,671.15,638.15,650.05,20850
2020-05-29 10:15:00,649.85,658.5,633.0,639.7,18750
2020-05-29 10:30:00,639.1,646.8,609.15,626.0,17700
2020-05-29 10:45:00,626.0,640.0,616.0,636.8,9225
2020-05-29 11:00:00,636.8,638.0,613.0,623.95,8775
2020-05-29 11:15:00,623.95,628.75,620.0,624.0,2850
2020-05-29 11:30:00,624.0,635.6,605.0,633.05,4950
2020-05-29 11:45:00,633.05,648.5,629.75,648.5,3675
2020-05-29 12:00:00,648.5,664.0,648.5,650.0,3750
2020-05-29 12:15:00,650.0,653.85,640.0,650.0,975
2020-05-29 12:30:00,650.0,656.1,642.5,654.0,2250
2020-05-29 12:45:00,654.0,654.0,631.55,631.55,1200
2020-05-29 13:00:00,631.55,650.0,624.75,649.25,3450
2020-05-29 13:15:00,649.25,650.0,639.25,642.0,900
2020-05-29 13:30:00,642.0,644.9,628.8,631.5,1800
2020-05-29 13:45:00,631.5,636.65,623.2,635.0,5400
2020-05-29 14:00:00,635.0,635.0,596.5,602.9,7950
2020-05-29 14:15:00,602.9,635.0,600.0,631.95,7425
2020-05-29 14:30:00,631.95,631.95,606.0,611.1,4875
2020-05-29 14:45:00,611.1,611.1,597.0,604.0,11700
2020-05-29 15:00:00,604.0,604.0,574.6,579.8,18600
2020-05-29 15:15:00,579.8,596.0,578.85,594.0,26775
2020-06-01 09:15:00,465.0,465.0,400.0,411.35,60525
2020-06-01 09:30:00,411.35,411.35,376.0,395.15,53400
2020-06-01 09:45:00,395.15,396.45,376.0,376.8,29625
2020-06-01 10:00:00,376.8,385.0,370.05,381.0,18975
2020-06-01 10:15:00,381.0,389.25,373.6,373.6,15675
2020-06-01 10:30:00,373.6,391.75,373.55,380.2,20025
2020-06-01 10:45:00,380.2,381.45,366.0,366.15,21675
2020-06-01 11:00:00,366.15,377.95,364.0,377.95,24375
2020-06-01 11:15:00,377.95,379.0,361.4,368.45,12450
2020-06-01 11:30:00,368.45,373.25,357.1,360.65,21975
2020-06-01 11:45:00,360.55,367.4,354.4,364.0,55200
2020-06-01 12:00:00,364.0,365.0,349.85,353.0,40275
2020-06-01 12:15:00,353.0,358.25,342.2,355.65,80850
2020-06-01 12:30:00,355.65,364.3,350.0,361.5,65700
2020-06-01 12:45:00,361.5,363.0,345.0,350.7,46800
2020-06-01 13:00:00,350.7,355.45,345.15,345.95,59550
2020-06-01 13:15:00,345.95,358.5,345.35,351.0,42900
2020-06-01 13:30:00,351.0,380.2,348.4,377.9,77700
2020-06-01 13:45:00,377.9,398.9,377.05,382.75,61050
2020-06-01 14:00:00,382.75,400.0,369.7,383.3,49650
2020-06-01 14:15:00,383.3,391.5,362.65,366.8,33300
2020-06-01 14:30:00,365.0,379.95,354.45,376.0,38700
2020-06-01 14:45:00,376.0,381.85,360.55,381.0,26175
2020-06-01 15:00:00,381.0,388.6,375.0,387.0,58050
2020-06-01 15:15:00,387.0,395.0,387.0,391.45,56925
